,sent1,sent2,label
432,"The man and the boy are standing at the bottom of the stairs, which are outdoors",The man is standing outdoor and the boy is falling over the bottom of the stairs,NEUTRAL
433,An adult is in the amphitheater and is talking to a boy,The man is standing outdoor and the boy is falling over the bottom of the stairs,NEUTRAL
434,There is no adult in the amphitheater talking to a boy,"The man and the boy are standing at the bottom of the stairs, which are outdoors",NEUTRAL
435,"The man and the boy are standing at the bottom of the stairs, which are outdoors",An adult is in the amphitheater and is talking to a boy,NEUTRAL
436,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,"A boy in a red shirt is behind a long blue wall and is lowering an eyebrow, facing the camera",NEUTRAL
437,There is no boy standing in front of the blue building in the space reserved for handicapped people,A boy is standing in front of the blue building in the space reserved for handicapped people,CONTRADICTION
438,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,There is no boy standing in front of the blue building in the space reserved for handicapped people,NEUTRAL
439,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,A boy is standing in front of the blue building in the space reserved for handicapped people,NEUTRAL
440,"The Jockeys are riding horses on the field, which is completely green","The Jockeys are racing horses on the field, which is completely green",ENTAILMENT
441,"The Jockeys are racing horses on the field, which is completely green","The Jockeys are slowing down their horses on the field, which is completely green",NEUTRAL
442,The green field for horse races is completely full of Jockeys,"The Jockeys are racing horses on the field, which is completely green",ENTAILMENT
443,Some furious racers on the green grass are yelling at the horses jumping an obstacle,"The Jockeys are racing horses on the field, which is completely green",NEUTRAL
444,Some horses are racing furiously over the green grass and jumping an obstacle,"The Jockeys are slowing down their horses on the field, which is completely green",NEUTRAL
445,Some horses are racing furiously over the green grass and jumping an obstacle,The green field for horse races is completely full of Jockeys,NEUTRAL
446,A woman is wearing sunglasses of large size and is holding newspapers in both hands,The woman is wearing sunglasses of large size and is holding newspapers in both hands,ENTAILMENT
447,A woman is wearing sunglasses of large size and is holding newspapers in both hands,There is no woman wearing sunglasses of large size and holding newspapers in both hands,CONTRADICTION
448,An old woman is wearing a shirt with a rose pattern upon it and is clumsily carrying two newspapers,A woman is wearing sunglasses of large size and is holding newspapers in both hands,NEUTRAL
449,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,The woman is wearing sunglasses of large size and is holding newspapers in both hands,NEUTRAL
450,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,There is no woman wearing sunglasses of large size and holding newspapers in both hands,NEUTRAL
451,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,A woman is wearing sunglasses of large size and is holding newspapers in both hands,NEUTRAL
452,A person who is practicing snowboarding falls from the air,A person who is practicing snowboarding jumps into the air,NEUTRAL
453,The snowboarder is leaping over white snow,A leap over white snow is greatly appealing to the snowboarders,NEUTRAL
454,The snowboarder is leaping fearlessly over white snow,A person who is practicing snowboarding jumps into the air,ENTAILMENT
455,A practicing jumper is tossing a person's snowboard into the air,The snowboarder is leaping over white snow,NEUTRAL
456,The snowboarder is leaping over white snow,A person who is practicing snowboarding jumps into the air,ENTAILMENT
457,"A dog is near a ball colored in red, which is in the air",A dog is near the red ball in the air,ENTAILMENT
458,A dog is near the red ball in the air,A dog is far from the red ball in the air,CONTRADICTION
459,A dog is jumping in the air to catch a red ball,A dog is near the red ball in the air,NEUTRAL
460,"A dog, which is small, is playing tirelessly on the green grass","A dog, which is small, is playing on the green grass",ENTAILMENT
461,"A dog, which is small, is playing on the green grass","A dog, which is small, is running out of the green grass",NEUTRAL
462,"A dog, which is small, is playing on the green grass",A small kid is playing with a green toy dog on the grass,NEUTRAL
463,"A dog, which is small, is running out of the green grass",A dog is near the red ball in the air,NEUTRAL
464,A dog is near the red ball in the air,A small kid is playing with a green toy dog on the grass,NEUTRAL
465,"A dog, which is small, is playing on the green grass","A dog is near a ball colored in red, which is in the air",NEUTRAL
466,A dog is far from the red ball in the air,"A dog, which is small, is playing on the green grass",NEUTRAL
467,A dog is near the red ball in the air,"A dog, which is small, is playing on the green grass",NEUTRAL
468,A man is riding a motorbike in the event related to motocross,A person is riding a motorbike in the event related to motocross,ENTAILMENT
469,The person is riding a motorbike on a sandy track,A man is riding a motorbike in the event related to motocross,NEUTRAL
470,There is no person riding a motorbike in the event related to motocross,The person is riding a motorbike on a sandy track,NEUTRAL
471,A person is riding a motorbike in the event related to motocross,The person isn't riding a motorbike on a sandy track,NEUTRAL
472,A motorbike rider is jumping over a person on a sandy track,A person is riding a motorbike in the event related to motocross,NEUTRAL
473,The young girl with a pink shirt is peacefully lying on the grass,The young girl with a pink shirt isn't peacefully lying on the grass,CONTRADICTION
474,A girl is wearing a pink shirt with white writing on it and is lying in the grass,The young girl with a shirt dyed pink is peacefully lying on the grass,NEUTRAL
475,The young girl with a pink shirt is peacefully lying on the grass,A girl is naked and is standing on the grass,NEUTRAL
476,A dog of large size is running on the grass with a tennis ball in its mouth,A large dog is running on the grass with a tennis ball in its mouth,ENTAILMENT
477,There is no large dog running on the grass with a tennis ball in its mouth,A large dog is running on the grass with a tennis ball in its mouth,CONTRADICTION
478,A large dog is running on the grass with a tennis ball in its mouth,A large tennis ball is being used to teach a dog to run in the grass and catch it with its mouth,NEUTRAL
479,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass","A large, gray ball is hitting a running dog, which is carrying some grass in its mouth",NEUTRAL
480,A large dog is running on the grass with a tennis ball in its mouth,"A dog, which is large and gray, is difficultly carrying a ball in its mouth and running across the grass",NEUTRAL
481,"A large, gray ball is hitting a running dog, which is carrying some grass in its mouth",A large dog is running on the grass with a tennis ball in its mouth,NEUTRAL
482,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",A dog of large size is running on the grass with a tennis ball in its mouth,NEUTRAL
483,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",There is no large dog running on the grass with a tennis ball in its mouth,NEUTRAL
484,A large tennis ball is being used to teach a dog to run in the grass and catch it with its mouth,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",NEUTRAL
485,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",A large dog is running on the grass with a tennis ball in its mouth,ENTAILMENT
486,A man is opening a small package that contains headphones,A man is opening a package that contains headphones,ENTAILMENT
487,A man is opening a package that contains headphones,A man who is wearing headphones is opening a package ,NEUTRAL
488,There is no woman riding a horse,A woman is riding a horse,CONTRADICTION
489,A man who is wearing headphones is opening a package ,A woman is riding a horse,NEUTRAL
490,A woman is riding a horse,A man is opening a package that contains headphones,NEUTRAL
491,A man is opening a package that contains headphones,A man who is wearing headphones is opening a package ,NEUTRAL
492,A man is singing and playing the guitar,A man is singing a song and playing the guitar,ENTAILMENT
493,A man is singing a song and playing the guitar,A man is opening a package that contains headphones,NEUTRAL
494,A man is opening a package that contains headphones,There is no man singing and playing the guitar,NEUTRAL
495,A man is singing and playing the guitar,A man who is wearing headphones is opening a package ,NEUTRAL
496,A dog is riding a skateboard in a park,A dog is riding a skateboard,ENTAILMENT
497,A dog is riding a skateboard,There is no dog riding a skateboard,CONTRADICTION
498,A dog is riding a skateboard,There is no dog riding a skateboard,CONTRADICTION
499,There is no dog riding a skateboard,A dog is riding a skateboard,CONTRADICTION
500,A fish is hunting for a turtle in the sea,A sea turtle is hunting for fish,NEUTRAL
501,The turtle is following the red fish,The turtle is following the fish,ENTAILMENT
502,A sea turtle is hunting for fish,The turtle isn't following the fish,NEUTRAL
503,The turtle is following the fish,A sea turtle is hunting for food,NEUTRAL
504,A woman is dipping a shrimp in batter,The car is being driven by a man,NEUTRAL
505,A woman is dipping a shrimp in batter,A man is driving a car,NEUTRAL
506,There is no man playing a guitar,A man is playing a guitar,CONTRADICTION
507,There is no man playing a piano,A man is playing a guitar,NEUTRAL
508,A man is playing a guitar under a windows,A man is playing a piano,NEUTRAL
509,There is no man playing a guitar,A man is playing a piano,NEUTRAL
510,A woman is adding ingredients to a big bowl,A woman is adding ingredients to a bowl,ENTAILMENT
511,A woman is cracking some eggs into a container,A woman is adding ingredients to a bowl,NEUTRAL
512,A woman is cracking some eggs outside a bowl,A woman is adding ingredients to a bowl,NEUTRAL
513,A woman is cracking some eggs into a bowl,A woman is adding ingredients to a bowl,ENTAILMENT
514,There is no woman slicing a carrot,A woman is slicing a carrot,CONTRADICTION
515,There is no woman slicing a potato,A woman is slicing a potato,CONTRADICTION
516,A woman is cooking prawns,A woman is boiling shrimps,NEUTRAL
517,A woman is boiling shrimps,A woman is arranging her hair,NEUTRAL
518,A woman is boiling shrimps,There is no woman combing her hair,NEUTRAL
519,A woman is not boiling shrimps,A woman is combing her hair,NEUTRAL
520,A man and a woman are hiking through a wooded area,A man and a woman are walking through a wooded area,ENTAILMENT
521,A man and a woman are walking together through wooded areas,A man and a woman are walking through a wooded area,ENTAILMENT
522,A man and a woman are walking together through the woods,A man and a woman are walking through a desert area,NEUTRAL
523,A man is making a speech on a podium,A man is speaking on a podium,ENTAILMENT
524,A man is speaking on a podium,There is no man speaking on a podium,CONTRADICTION
525,A man is speaking on a podium,A podium is where a man is speaking,ENTAILMENT
526,A man is tanking on a stage in front of a crowd,A man is speaking on a stage,NEUTRAL
527,A man is speaking on a podium,There is no man speaking on a stage,NEUTRAL
528,A man is making a speech on a podium,A man is speaking on a stage,NEUTRAL
529,A man is speaking on a stage,A man is speaking on a podium,NEUTRAL
530,A woman is talking on a telephonic device,A woman is talking on a telephone,ENTAILMENT
531,A woman is not talking on a telephone,A woman is talking on a telephone,CONTRADICTION
532,A woman is talking on a telephonic device,Two boys are talking on the phone,NEUTRAL
533,A woman is not talking on a telephone,Two boys are talking on the phone,NEUTRAL
534,A woman is talking on a telephone,Two boys are talking on the phone,NEUTRAL
535,A monkey is wading through a marsh,A monkey is wading through a river,NEUTRAL
536,A small monkey is walking in the river,A monkey is wading through a marsh,NEUTRAL
537,A monkey is wading through a river,A small monkey is walking through water,NEUTRAL
538,A small monkey is walking through water,There is no monkey wading through a marsh,NEUTRAL
539,A man is slicing a tomato,There is no man slicing a tomato,CONTRADICTION
540,A man is slicing a red tomato,A man is slicing a bun,NEUTRAL
541,A man is cutting a bun,A man is slicing a tomato,NEUTRAL
542,A woman is dancing and singing with other women,A woman is performing in the rain,NEUTRAL
543,There is no woman dancing and singing in the rain,A woman is dancing and singing with other women,NEUTRAL
544,A woman is removing the peel of a potato,A woman is peeling a potato,ENTAILMENT
545,A man is slicing a red tomato,A woman is slicing a tomato,NEUTRAL
546,A woman is peeling a potato,A man is slicing a red tomato,NEUTRAL
547,A woman is removing the peel of a potato,A woman is slicing a tomato,NEUTRAL
548,A woman is slicing a tomato,There is no woman peeling a potato,NEUTRAL
549,A woman is amalgamating eggs,A woman is mixing eggs,ENTAILMENT
550,The hungry woman is eating,A woman is mixing eggs,NEUTRAL
551,The woman is eating,A woman is mixing eggs,NEUTRAL
552,A band is performing on a stage,A band is playing onstage,ENTAILMENT
553,There is no man mixing,A man is mixing,CONTRADICTION
554,A man is arranging the garden,A man is mowing a lawn,NEUTRAL
555,A man is mixing,A man is arranging the garden,NEUTRAL
556,A man is mixing,A man is not mowing a lawn,NEUTRAL
557,A man is shaking a drink,A man is mowing a lawn,NEUTRAL
558,There is no man mixing,A man is mowing a lawn,NEUTRAL
559,A man is walking in a yard,A man is walking outside,ENTAILMENT
560,A man is dancing,A man is walking in a yard,NEUTRAL
561,There is no man walking outside,A man is dancing,NEUTRAL
562,A man is moving gracefully,A man is walking outside,NEUTRAL
563,A black cat is swinging on a fan,A cat is swinging on a fan,ENTAILMENT
564,A cat is swinging on a fan,A cat is stuck on a ceiling fan that is moving,NEUTRAL
565,A cat is playing on a moving ceiling fan,A cat is swinging on a fan,ENTAILMENT
566,A black cat is swinging on a fan,A cat is stuck on a moving ceiling fan,NEUTRAL
567,A cat is stuck on a moving ceiling fan,There is no cat swinging on a fan,CONTRADICTION
568,A man is playing flute,There is no man playing flute,CONTRADICTION
569,A man is playing flute,There is no man playing soccer,NEUTRAL
570,A man is making music with a flute,A man is playing soccer,NEUTRAL
571,A man is playing flute,A man is playing soccer,NEUTRAL
572,A person is performing a card trick,A person is doing a trick with some cards,ENTAILMENT
573,A person is performing a card trick,A man is frying a tortilla,NEUTRAL
574,A boy is spanking a man with a plastic sword,A boy is spanking a man with a toy weapon,ENTAILMENT
575,A boy is spanking a man with a plastic sword,A boy is spanking a woman with a plastic sword,NEUTRAL
576,A boy is whacking a man with a sword,A man is being hit by a kid with a weapon,ENTAILMENT
577,A man is whacking a boy with a sword,A boy is spanking a man with a plastic sword,NEUTRAL
578,A boy is whacking a man with a sword,A boy is spanking a woman with a plastic sword,NEUTRAL
579,A boy is whacking a man with a sword,A man is spanking a boy with a plastic sword,NEUTRAL
580,The lady is measuring the ankle of another woman,A woman is being measured by another woman,ENTAILMENT
581,The woman is measuring a man,The lady is measuring the ankle of another woman,NEUTRAL
582,There is no man making a phone call,A man is making a phone call,CONTRADICTION
583,A man is talking on a cell phone,A man is making a call on a cell phone,ENTAILMENT
584,A man is talking on a cell phone,A man is making a phone call,NEUTRAL
585,A man is hanging up the phone,A man is making a phone call,NEUTRAL
586,A man is making a call on a cell phone,A man is talking on the phone,NEUTRAL
587,There is no dog rolling from side to side,A dog is rolling from side to side,CONTRADICTION
588,There is no puppy rolling,A puppy is repeatedly rolling from side to side on its back,CONTRADICTION
589,A dog is rolling from side to side,There is no puppy rolling,NEUTRAL
590,A puppy is repeatedly rolling from side to side on its back,An animal is rolling from side to side in a garden,NEUTRAL
591,A machine is sharpening a pencil,A pencil is being sharpened,ENTAILMENT
592,A machine is sharpening a knife,A machine is sharpening a pencil,NEUTRAL
593,The machine is not shaving a pencil,The machine is shaving the end of a pencil,CONTRADICTION
594,A machine is sharpening a knife,The machine is shaving the end of a pencil,NEUTRAL
595,There is no man playing a keyboard,A man is playing a keyboard,CONTRADICTION
596,A man is playing a keyboard,A pianist is playing the keyboard,NEUTRAL
597,A person is not playing the keyboard,A man is playing a keyboard,CONTRADICTION
598,A man is playing a keyboard in a park,A person is playing the keyboard,ENTAILMENT
599,A man is rinsing a large steak,A man is rinsing a large piece of meat,ENTAILMENT
600,A steak is being rinsed with water by a person,A person is rinsing a steak with water,ENTAILMENT
601,Nobody is rinsing a steak with water,A person is rinsing a steak with water,CONTRADICTION
602,A steak is being rinsed with water by a person,A man is rinsing a large steak,NEUTRAL
603,Nobody is rinsing a steak with water,A man is rinsing a large steak,CONTRADICTION
604,A man is rinsing a large steak,A person is rinsing a steak with water,NEUTRAL
605,A person is chopping a red onion,A person is chopping an onion,ENTAILMENT
606,A person is not chopping an onion,A person is chopping an onion,CONTRADICTION
607,A person is riding an old motorcycle,A person is riding a motorcycle,ENTAILMENT
608,A person is riding a motorcycle,A person is standing near a motorcycle,CONTRADICTION
609,A person is chopping an onion,A person is riding an old motorcycle,NEUTRAL
610,There is no man screaming,A man is crying,NEUTRAL
611,Butter is being chopped into a container by a man,A man is chopping butter into a container,ENTAILMENT
612,A man is chopping butter into a small container,A man is chopping butter into a container,ENTAILMENT
613,A prawn is being cut by a woman,A woman is cutting shrimps,NEUTRAL
614,A man is chopping butter into a container,A prawn is being cut by a woman,NEUTRAL
615,A woman is not cutting shrimps,A man is chopping butter into a container,NEUTRAL
616,Butter is being chopped into a container by a man,A woman is cutting shrimps,NEUTRAL
617,Some men are sawing,Men are sawing,ENTAILMENT
618,Some men are sawing,There are no men sawing,CONTRADICTION
619,Men are sawing logs,There are no men sawing,CONTRADICTION
620,Some men are sawing,Women are sawing logs,NEUTRAL
621,A woman is washing her feet,A woman is brushing her feet,NEUTRAL
622,A woman is chopping an onion,A woman is washing her feet,NEUTRAL
623,A woman is brushing her feet,A woman is chopping an onion,NEUTRAL
624,A man is playing a guitar,A man is not playing a guitar,CONTRADICTION
625,A man is playing a keyboard,A musician is playing a keyboard,ENTAILMENT
626,A man is playing a guitar,A musician is playing a keyboard,NEUTRAL
627,There is no man playing a keyboard,A man is playing a guitar,NEUTRAL
628,A man is playing a guitar,A man is playing a keyboard,NEUTRAL
629,A man is laughing,A man is spitting,NEUTRAL
630,There is no man spitting,A man is talking,NEUTRAL
631,A man is spreading dough,Dough is being spread by a man,ENTAILMENT
632,A man is spreading dough,There is no woman slicing meat with a knife,NEUTRAL
633,A woman is slicing meat with a knife,A man is lumping dough,NEUTRAL
634,A baby is laughing,A baby is crying,NEUTRAL
635,A man is doing physical activity,A baby is laughing,NEUTRAL
636,A man is exercising,A happy baby is laughing,NEUTRAL
637,A baby is crying,A man is exercising,NEUTRAL
638,Three men are jumping off a tall wall,Three men are jumping off a wall,ENTAILMENT
639,Three men are jumping on a wall,Three men are jumping off a wall,CONTRADICTION
640,"Three young men are running, jumping and kicking near a vending machine",Three men are jumping on a wall,NEUTRAL
641,Three men are jumping off a wall,"Three young men are running, jumping and kicking near a vending machine",NEUTRAL
642,A deer is standing inside a fence,A deer is jumping over a cyclone fence,NEUTRAL
643,The deer is jumping over the low fence,A deer is jumping over a cyclone fence,NEUTRAL
644,A deer is jumping over a cyclone fence,The deer is not jumping over the fence,CONTRADICTION
645,A deer is jumping over a wall,The deer is jumping over the fence,NEUTRAL
646,A deer is standing inside a fence,The deer is jumping over the fence,CONTRADICTION
647,A deer is jumping over a cyclone fence,The deer is jumping over the fence,ENTAILMENT
648,The oil is being stirred by a man,The man is stirring oil,ENTAILMENT
649,The man is stirring the sauce for the chicken,The man is cooking sauce for the meat,NEUTRAL
650,The man is stirring oil,The man is cooking sauce for the meat,NEUTRAL
651,The man is stirring oil,The man is not stirring the sauce for the chicken,NEUTRAL
652,There is no man playing guitar,A man is playing guitar,CONTRADICTION
653,A man is playing guitar,There is no man playing a guitar,CONTRADICTION
654,A man is playing an electric guitar,A man is playing a guitar,ENTAILMENT
655,A man is playing a guitar,A man is playing guitar,ENTAILMENT
656,Three men are practicing karate in a field,Three men are practicing karate outdoors,ENTAILMENT
657,Three men are practicing karate in a field,Three men are practicing karate in a gym,NEUTRAL
658,Three boys in karate costumes aren't fighting,Three men are practicing karate in a field,NEUTRAL
659,Some women are holding each other in a circle and dancing,A few women are holding each other and dancing together,ENTAILMENT
660,Two men are playing table tennis,Two men are playing ping pong,ENTAILMENT
661,Two men are playing table football,Two men are playing table tennis,CONTRADICTION
662,Some women are holding each other in a circle and dancing,Two men are playing table tennis,NEUTRAL
663,Two men are playing table tennis,A few women are holding each other and dancing together,NEUTRAL
664,There is no woman cutting broccoli,A woman is cutting broccoli,CONTRADICTION
665,A woman is planting some flowers,A woman is cutting some flowers,NEUTRAL
666,A woman is cutting some plants,A woman is cutting broccoli,NEUTRAL
667,A woman is cutting some flowers,There is no woman cutting broccoli,NEUTRAL
668,A woman is cutting a white onion,A woman is cutting an onion,ENTAILMENT
669,A woman is cutting an onion,There is no woman cutting an onion,CONTRADICTION
670,There is no woman cutting an onion,A horse is standing,NEUTRAL
671,A white horse is standing,A woman is cutting an onion,NEUTRAL
672,A horse is running,A woman is cutting an onion,NEUTRAL
673,A cat is playing a piano,A cat is playing a keyboard,NEUTRAL
674,A man is playing two keyboards,There is no man playing two keyboards,CONTRADICTION
675,A man is playing two keyboards,There is no cat playing a keyboard,NEUTRAL
676,Mimes are performing on a small stage,Mimes are performing on a stage,ENTAILMENT
677,The men are acting on a stage,The men are performing on stage,ENTAILMENT
678,Two men are leaving the stage,The men are performing on stage,NEUTRAL
679,The men are acting on a stage,Mimes are performing on a stage,NEUTRAL
680,Two men are leaving the stage,Mimes are performing on a stage,NEUTRAL
681,The men are performing on stage,Mimes are performing on a small stage,NEUTRAL
682,A man is dropping a tree,A man is carrying a tree,NEUTRAL
683,A man is picking up a tree,A tree is being picked up by a man,ENTAILMENT
684,A man is planting a tree,A man is picking up a tree,NEUTRAL
685,A man is picking up a tree,A man is dropping a tree,NEUTRAL
686,A man is passionately playing the guitar,A man is playing the guitar,ENTAILMENT
687,A man is playing the guitar,There is no man playing the guitar,CONTRADICTION
688,A person is listening to a trumpet playing,A person is playing a trumpet,NEUTRAL
689,A man is playing the guitar,A person is listening to a trumpet playing,NEUTRAL
690,A person is playing a trumpet,A man is passionately playing the guitar,NEUTRAL
691,A person is playing a trumpet,There is no man playing the guitar,NEUTRAL
692,A man is playing the guitar owner,A person is playing a trumpet,NEUTRAL
693,"A badger, which is shrewd, is digging the earth",A badger is shrewdly digging the earth,ENTAILMENT
694,"A badger, which is shrewd, is digging the earth",The badger is burrowing a hole,ENTAILMENT
695,A badger is shrewdly digging the earth,The badger isn't burrowing a hole,CONTRADICTION
696,A badger is shrewdly digging the earth,The badger is burrowing a hole,ENTAILMENT
697,Some liquid is being poured into a pan by a man,A man is pouring liquid into a pot,ENTAILMENT
698,A man is pouring liquid into a pot,There is no man pouring liquid into a pot,CONTRADICTION
699,The chef is carefully pouring oil in the pan,A man is pouring liquid into a pot,NEUTRAL
700,A man is pouring liquid into a pot,The chef is carefully drying the oil from the pan,NEUTRAL
701,A man is pouring liquid into a pot,The chef is carefully pouring some oil into a pan,NEUTRAL
702,The man is operating a stenograph,The man isn't operating a stenograph,CONTRADICTION
703,The man is cautiously operating a stenograph,A man is typing on a machine used for stenography,NEUTRAL
704,The man is typing on a machine used for stenography,The man is operating a stenograph,ENTAILMENT
705,The man is operating a stenograph,A man is typing on a machine used for stenography,ENTAILMENT
706,A snake is being fed a mouse by a man,One man is feeding a mouse to the snake,ENTAILMENT
707,A poor man is being fed snakes and mice,A snake is being fed a mouse by a man,NEUTRAL
708,The man is carefully feeding a mouse to the snake,The man is cautiously feeding a mouse to the snake,ENTAILMENT
709,The man is carefully feeding a mouse to the snake,A snake is being fed a mouse by a man,ENTAILMENT
710,The man is cautiously feeding a mouse to the snake,One man is feeding a mouse to the snake,ENTAILMENT
711,No snake is being fed a mouse by a man,The man is cautiously feeding a mouse to the snake,CONTRADICTION
712,A guy is cheerfully playing with the footbag,A guy is cheerfully playing with a footbag,ENTAILMENT
713,The man isn't playing the piano,The man is playing a piano,CONTRADICTION
714,The man is playing a piano,There is a guy cheerfully playing with a footbag,NEUTRAL
715,The man is playing a piano,A guy is cheerfully playing with a footbag,NEUTRAL
716,A man is mixing a few ingredients in a bowl,Some ingredients are being mixed in a bowl by a person,ENTAILMENT
717,A person is bowling the ingredients to the man at the mixer,Some ingredients are being mixed in a bowl by a person,NEUTRAL
718,A woman is breaking two eggs in a bowl,There is no woman breaking eggs in a bowl,CONTRADICTION
719,A woman is breaking two eggs in a bowl,A woman is bowling two eggs to a break dancer ,NEUTRAL
720,Some ingredients are being mixed in a bowl by a person,A woman is bowling two eggs to a break dancer ,NEUTRAL
721,A woman is breaking two eggs in a bowl,Some ingredients are being mixed in a bowl by a person,NEUTRAL
722,The girl is recklessly jumping onto a car,The girl is recklessly jumping onto a vehicle,ENTAILMENT
723,The girl is recklessly jumping onto a car,The girl isn't jumping onto the car recklessly,CONTRADICTION
724,One young lady is jumping on the car,One girl is jumping on the car,ENTAILMENT
725,The girl is recklessly jumping onto a car,One young lady is jumping on the car,ENTAILMENT
726,The girl is recklessly jumping onto a car,There is no girl jumping into the car,NEUTRAL
727,A girl is on a jumping car,The girl is recklessly jumping onto a car,NEUTRAL
728,The girl is recklessly jumping onto a vehicle,One girl is jumping on the car,NEUTRAL
729,The girl isn't jumping onto the car recklessly,One girl is jumping on the car,NEUTRAL
730,A car is riskily jumping over a girl,One girl is jumping on the car,NEUTRAL
731,The girl is recklessly jumping onto a car,One girl is jumping on the car,ENTAILMENT
732,One woman is slowly peeling a potato,One woman is peeling a potato,ENTAILMENT
733,A woman is throwing a potato peel,One woman is peeling a potato,NEUTRAL
734,The potato is being peeled by a woman,The potato isn't being peeled by a woman,CONTRADICTION
735,One woman is peeling a potato,The potato isn't being peeled by a woman,CONTRADICTION
736,One woman is slowly peeling a potato,The potato is being peeled by a woman,ENTAILMENT
737,There is no woman peeling a potato,The potato is being peeled by a woman,CONTRADICTION
738,The potato is being peeled by a woman,One woman is peeling a potato,ENTAILMENT
739,The guitar is being played by the man,The guitar is being played by nobody,CONTRADICTION
740,The guitar is being played by the man,The man is a guitar player,ENTAILMENT
741,A boat is sailing peacefully over the water,The guitar is being played by a man,NEUTRAL
742,The guitar is being played by nobody,A boat is sailing peacefully over the water,NEUTRAL
743,A boat is sailing quietly over the water,The guitar is being played by the man,NEUTRAL
744,A boat's sail is being reflected by the peaceful water,The guitar is being played by the man,NEUTRAL
745,The man is pouring oil on a few tomatoes,One person pours oil on a few tomatoes,ENTAILMENT
746,Some oil is being poured on the tomatoes by the man,The man is pouring some oil on the tomatoes,ENTAILMENT
747,The man is pouring some oil on the tomatoes,Somebody is pouring tomato oil on the man,NEUTRAL
748,The man is pouring some oil on the tomatoes,A man isn't pouring oil on the tomatoes.,CONTRADICTION
749,There is no milk being drunk by a cat,The milk is being drunk by a cat,CONTRADICTION
750,A kitten is drinking fresh milk,There is no kitten drinking milk,CONTRADICTION
751,There is no kitten drinking milk,The milk is being drunk by a cat,NEUTRAL
752,A kitten is drinking fresh milk,There is no milk being drunk by a cat,CONTRADICTION
753,A kitten is drinking fresh milk,The milk is being drunk by a cat,ENTAILMENT
754,A frog is being held carelessly by a man,A man is carelessly holding a frog,ENTAILMENT
755,A man is carelessly holding a frog,A man is carelessly dropping a frog,NEUTRAL
756,A man is emptying a container made of plastic,A frog is being held carelessly by a man,NEUTRAL
757,A man is emptying a container made of plastic,A man is carelessly dropping a frog,NEUTRAL
758,A man is slicing an onion,An onion is being sliced by a man,ENTAILMENT
759,A man is eating onion slices,A man is slicing an onion,NEUTRAL
760,An onion is being cut by a man,The onion is being cut by the man,ENTAILMENT
761,No onion is being cut by a man,An onion is being cut by a man,CONTRADICTION
762,An onion is being sliced by a man,An onion is being cut by a man,ENTAILMENT
763,An onion is being cut by a man,A man is eating onion slices,NEUTRAL
764,A man is recklessly riding a horse,A person is recklessly riding a horse,ENTAILMENT
765,A man is recklessly riding a horse,There is no man recklessly riding a horse,CONTRADICTION
766,A man is recklessly riding a horse,The elephant isn't being ridden by the woman,NEUTRAL
767,A man is recklessly riding a horse,The elephant is being ridden by the woman,NEUTRAL
768,Somebody is playing the piano,The piano is being played by someone,ENTAILMENT
769,The piano is being played by someone,Nobody is feeding an animal,NEUTRAL
770,One man is turning on the microwave,One man is turning off the microwave,CONTRADICTION
771,One man is turning on the microwave,There is no man is pushing the buttons of a microwave,CONTRADICTION
772,One man is turning on the microwave,A man is pushing the buttons of a microwave,ENTAILMENT
773,A flute is being played by a girl,A flute is being put away by a girl,CONTRADICTION
774,A flute is being played by a girl,A girl is making a flute which is not to be played,NEUTRAL
775,One woman is practicing with a flute,One woman is playing a flute,ENTAILMENT
776,A flute is being played by a girl,One woman is practicing with a flute,NEUTRAL
777,A boy is happily playing the piano,One boy is happily playing a piano,ENTAILMENT
778,The boy isn't playing the piano happily,A boy is happily playing the piano,CONTRADICTION
779,A boy is happily playing the piano,A piano is being played by a person,ENTAILMENT
780,A boy is happily playing the piano,A piano isn't being played by a man,NEUTRAL
781,A boy is happily playing the piano,The piano player is being a tough man,NEUTRAL
782,A piano is being played by a man,The play is about a happy boy playing the piano,NEUTRAL
783,A boy is happily playing the piano,A piano is being played by a man,NEUTRAL
784,A cheetah is quickly running behind its prey.,The cheetah is running quickly behind its prey,ENTAILMENT
785,A cheetah is quickly running behind its prey.,There is no cheetah quickly running behind its prey,CONTRADICTION
786,A cheetah is quickly running behind its prey.,A prey is quickly running behind the cheetah,CONTRADICTION
787,A cheetah is chasing its prey across a field,The cheetah is running quickly behind its prey,NEUTRAL
788,A cheetah is chasing its prey across a field,There is no cheetah quickly running behind its prey,CONTRADICTION
789,A cheetah is shaken off by its prey across a field.,A cheetah is quickly running behind its prey.,NEUTRAL
790,A lion is pacing tiredly in a pen,The lion is pacing tiredly in the pen,ENTAILMENT
